parent_category,category1,category2,category3,category_id
Mobile,,,,190
Mobile,Apple,,,197
Mobile,Apple,iPhone 4,,215
Mobile,Apple,iPhone 4s,,216
Mobile,Apple,iPhone 5,,217
Mobile,Apple,iPhone 5s,,218
Mobile,Apple,iPhone 5c,,219
Mobile,Asus,,,198
Mobile,Asus,Fonepad Note 6,,234
Mobile,Asus,One Touch,,235
Mobile,BlackBerry,,,207
Mobile,BlackBerry,BlackBerry Q10,,255
Mobile,HTC,,,208
Mobile,HTC,HTC J,,236
Mobile,HTC,HTC One,,237
Mobile,Huawei,,,209
Mobile,Huawei,Huawei Ascend D1,,248
Mobile,Huawei,Huawei Ascend P6,,249
Mobile,Huawei,Huawei Ascend G700,,250
Mobile,LG,,,210
Mobile,LG,LG Nexus 4,,238
Mobile,LG,LG Nexus 5,,239
Mobile,LG,LG G Flex,,240
Mobile,LG,LG G2,,241
Mobile,Motorola,,,211
Mobile,Motorola,Moto G,,242
Mobile,Nokia,,,212
Mobile,Nokia,Nokia Lumia 820,,243
Mobile,Nokia,Nokia 515,,244
Mobile,Nokia,Nokia Lumia 1520,,245
Mobile,Nokia,Nokia Lumia 525,,246
Mobile,Nokia,Nokia Lumia 1320,,247
Mobile,Samsung,,,213
Mobile,Samsung,Galaxy S3,,220
Mobile,Samsung,Galaxy S4,,222
Mobile,Samsung,Galaxy Note 2,,223
Mobile,Samsung,Galaxy Note 3,,226
Mobile,Samsung,Galaxy Mega,,230
Mobile,Samsung,Galaxy S Advance,,231
Mobile,Samsung,Galaxy Note 8.0,,232
Mobile,Samsung,Samsung S Duos,,233
Mobile,Sony,,,214
Mobile,Sony,Xperia TX,,251
Mobile,Sony,Xperia Miro,,252
Mobile,Sony,Xperia Z1,,253
Mobile,Sony,Xperia Z Ultra,,254
Tablets,,,,191
Tablets,Apple,,,256
Tablets,Apple,iPad Mini,,264
Tablets,Apple,iPad Mini Retina,,265
Tablets,Apple,iPad Retina Display,,266
Tablets,Apple,iPad Air,,267
Tablets,Apple,iPad 2,,633
Tablets,Apple,iPad 3,,634
Tablets,Asus,,,257
Tablets,Asus,VivoTab,,268
Tablets,Asus,Transformer Pad,,269
Tablets,Asus,Fonepad,,270
Tablets,Google,,,258
Tablets,Google,Google Nexus 7,,271
Tablets,Lenovo,,,259
Tablets,Lenovo,Lenovo Yoga,,272
Tablets,LG,,,260
Tablets,LG,LG G Pad,,273
Tablets,Microsoft,,,261
Tablets,Microsoft,Microsoft Surface Pro,,274
Tablets,Microsoft,Microsoft Surface 2,,275
Tablets,Samsung,,,262
Tablets,Samsung,Galaxy Tab 3 ,,276
Tablets,Samsung,Google Nexus 10 ,,277
Tablets,Samsung,Google Nexus 10.1 ,,278
Computer,,,,192
Computer,Apple,,,279
Computer,Apple,Apple TV,,283
Computer,Apple,MacBook Air,,284
Computer,Apple,Display,,285
Computer,Apple,iMac,,286
Computer,Apple,Mac Mini,,287
Computer,Apple,MacBook,,288
Computer,Apple,Mac Pro,,289
Computer,Apple,MacBook Pro,,290
Computer,Apple,MacBook Air,,291
Computer,Asus,,,280
Computer,Asus,Transofrmer Book,,293
Computer,Asus,Taichi 21,,294
Computer,MSI,,,281
Computer,MSI,MSI i7,,295
Computer,Samsung,,,282
Computer,Samsung,Chromebook,,292
Camera,,,,193
Camera,Canon,,,308
Camera,Canon,Camera,,379
Camera,Canon,Camera,Compact Digital Camera,454
Camera,Canon,Camera,Digital SLR Cameras,458
Camera,Canon,Lenses,,405
Camera,Canon,Lenses,Macrophoto Lens,596
Camera,Canon,Lenses,Tilt-shift Lens,598
Camera,Canon,Lenses,Electro Focus Lens,599
Camera,Canon,Flashes,,425
Camera,Canon,Flashes,Speedlite Flash,600
Camera,Canon,Flashes,Speedllite Transmitter,605
Camera,Carl,,,309
Camera,Carl,Camera,,380
Camera,Carl,Lenses,,407
Camera,Carl,Lenses,Zeiss Distagon Lens,535
Camera,Carl,Flashes,,427
Camera,Fujinon,,,310
Camera,Fujinon,Camera,,383
Camera,Fujinon,Lenses,,408
Camera,Fujinon,Lenses,XF Lens,595
Camera,Fujinon,Flashes,,428
Camera,Kenko,,,311
Camera,Kenko,Camera,,385
Camera,Kenko,Lenses,,410
Camera,Kenko,Lenses,Extension Tube Lens,619
Camera,Kenko,Flashes,,429
Camera,Nikon,,,312
Camera,Nikon,Camera,,387
Camera,Nikon,Camera,Digital SLR Cameras,459
Camera,Nikon,Lenses,,411
Camera,Nikon,Lenses,Perspective Control Lens,543
Camera,Nikon,Lenses,Teleconventor Lens,547
Camera,Nikon,Lenses,AF Lens,557
Camera,Nikon,Flashes,,431
Camera,Nikon,Flashes,Speedlite Flash,601
Camera,Olympus,,,356
Camera,Olympus,Camera,,392
Camera,Olympus,Camera,Compact Digital Camera,455
Camera,Olympus,Lenses,,413
Camera,Olympus,Lenses,Standard Lens,515
Camera,Olympus,Lenses,Ultra Zoom Lens,520
Camera,Olympus,Lenses,Wide Zoom Lens,521
Camera,Olympus,Lenses,Telephoto Lens,524
Camera,Olympus,Lenses,Extension Tube Lens,528
Camera,Olympus,Lenses,Digital Lens,540
Camera,Olympus,Lenses,Teleconventor Lens,549
Camera,Olympus,Lenses,Macrophoto Lens,597
Camera,Olympus,Flashes,,433
Camera,Olympus,Flashes,Speedlite Flash,602
Camera,Panasonic,,,357
Camera,Panasonic,Camera,,393
Camera,Panasonic,Camera,Compact Digital Camera,456
Camera,Panasonic,Camera,Digital Video Cameras & Camcorders,462
Camera,Panasonic,Lenses,,414
Camera,Panasonic,Lenses,Lumix G Lens,514
Camera,Panasonic,Flashes,,437
Camera,Panasonic,Flashes,Speedlite Flash,603
Camera,Pentax,,,358
Camera,Pentax,Camera,,395
Camera,Pentax,Camera,Digital SLR Cameras,460
Camera,Pentax,Lenses,,415
Camera,Pentax,Lenses,SMC Lens,513
Camera,Pentax,Flashes,,438
Camera,Samsung,,,359
Camera,Samsung,Camera,,396
Camera,Samsung,Camera,Action Camera,453
Camera,Samsung,Camera,Smart Digital Camera,466
Camera,Samsung,Camera,Prosumer and Mirrorless Camera,470
Camera,Samsung,Lenses,,416
Camera,Samsung,Flashes,,440
Camera,Samyang,,,361
Camera,Samyang,Camera,,397
Camera,Samyang,Lenses,,417
Camera,Samyang,Lenses,Fixed Mount Lens,510
Camera,Samyang,Lenses,Fish Eye Lens,512
Camera,Samyang,Lenses,Standard Lens,516
Camera,Samyang,Flashes,,439
Camera,Sigma,,,363
Camera,Sigma,Camera,,398
Camera,Sigma,Lenses,,419
Camera,Sigma,Lenses,Macro Lens,506
Camera,Sigma,Lenses,HSM Lens,509
Camera,Sigma,Flashes,,441
Camera,Sigma,Flashes,Macro Flash,607
Camera,Sony,,,365
Camera,Sony,Camera,,400
Camera,Sony,Camera,Compact Digital Camera,457
