parent_category,category1,category2,name,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,categories,image_url,sub_image_url,option,quantity
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Pink -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD773ZP/A,MD773ZP/A,,Apple IPOD SHUFFLE 2GB  Pink -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Yellow -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD774ZP/A,MD774ZP/A,,Apple IPOD SHUFFLE 2GB  Yellow -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Blue -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD775ZP/A,MD775ZP/A,,Apple IPOD SHUFFLE 2GB  Blue -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Green -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD776ZP/A,MD776ZP/A,,Apple IPOD SHUFFLE 2GB  Green -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Purple -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD777ZP/A,MD777ZP/A,,Apple IPOD SHUFFLE 2GB  Purple -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Silver -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD778ZP/A,MD778ZP/A,,Apple IPOD SHUFFLE 2GB  Silver -ITP,,,,,,10
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Slate -ITP,,310.4,388,388,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPS-MD779ZP/A,MD779ZP/A,,Apple IPOD SHUFFLE 2GB  Slate -ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 8GB - Pink  - ITP,,798.4,998,998,,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MC692ZP/A,MC692ZP/A,,Apple iPod nano 8GB - Pink  - ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - PINK- ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD475ZP/A,MD475ZP/A,,Apple iPod nano 16GB - PINK- ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - YELLOW- ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD476ZP/A,MD476ZP/A,,Apple iPod nano 16GB - YELLOW- ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - BLUE- ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD477ZP/A,MD477ZP/A,,Apple iPod nano 16GB - BLUE- ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - GREEN- ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD478ZP/A,MD478ZP/A,,Apple iPod nano 16GB - GREEN- ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - PURPLE- ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD479ZP/A,MD479ZP/A,,Apple iPod nano 16GB - PURPLE- ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - SILVER - ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD480ZP/A,MD480ZP/A,,Apple iPod nano 16GB - SILVER - ITP,,,,,,10
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - SLATE - ITP,,950.4,"1,188.00","1,188.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPN-MD481ZP/A,MD481ZP/A,,Apple iPod nano 16GB - SLATE - ITP,,,,,,10
Media Player,Apple,iPod Classic,Apple IPOD CLASSIC 160GB SILVER,,1510.4,"1,888.00","1,888.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPC-MC293ZP/A,MC293ZP/A,,Apple IPOD CLASSIC 160GB SILVER,,,,,,10
Media Player,Apple,iPod Classic,Apple IPOD CLASSIC 160GB BLACK,,1510.4,"1,888.00","1,888.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPC-MC297ZP/A,MC297ZP/A,,Apple IPOD CLASSIC 160GB BLACK,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  (4th Gen),,1350.4,"1,688.00","1,688.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MC544ZP/A,MC544ZP/A,,Apple iPod touch 32GB  (4th Gen),,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Pink,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MC903ZP/A,MC903ZP/A,,Apple iPod touch 32GB  - Pink,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Pink,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MC904ZP/A,MC904ZP/A,,Apple iPod touch 64GB  - Pink,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  (4th Gen) White,,1350.4,"1,688.00","1,688.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD058ZP/A,MD058ZP/A,,Apple iPod touch 32GB  (4th Gen) White,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  (4th Gen) White,,2070.4,"2,588.00","2,588.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD059ZP/A,MD059ZP/A,,Apple iPod touch 64GB  (4th Gen) White,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Yellow,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD714ZP/A,MD714ZP/A,,Apple iPod touch 32GB  - Yellow,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Yellow,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD715ZP/A,MD715ZP/A,,Apple iPod touch 64GB  - Yellow,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Blue,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD717ZP/A,MD717ZP/A,,Apple iPod touch 32GB  - Blue,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Blue,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD718ZP/A,MD718ZP/A,,Apple iPod touch 64GB  - Blue,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - White & Silver,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD720ZP/A,MD720ZP/A,,Apple iPod touch 32GB  - White & Silver,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - WHITE & SILVER,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD721ZP/A,MD721ZP/A,,Apple iPod touch 64GB  - WHITE & SILVER,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Black & Slate,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD723ZP/A,MD723ZP/A,,Apple iPod touch 32GB  - Black & Slate,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - BLACK & SLATE,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-MD724ZP/A,MD724ZP/A,,Apple iPod touch 64GB  - BLACK & SLATE,,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 16GB  Black(4th Gen),,1110.4,"1,388.00","1,388.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-ME178ZP/A,ME178ZP/A,,Apple iPod touch 16GB  Black(4th Gen),,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 16GB  White(4th Gen),,1110.4,"1,388.00","1,388.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-ME179ZP/A,ME179ZP/A,,Apple iPod touch 16GB  White(4th Gen),,,,,,10
Media Player,Apple,iPod Touch,Apple iPod touch 16GB - Black & Silver,,1430.4,"1,788.00","1,788.00",,Apple Asia Ltd,Apple Asia Ltd,107-APPIPT-ME643ZP/A,ME643ZP/A,,Apple iPod touch 16GB - Black & Silver,,,,,,10
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi BLK 32GB,,3350.4,"4,188.00","4,188.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD511ZP/A,MD511ZP/A,,Apple iPad with Retina display WiFi BLK 32GB,,,,,,10
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi BLK 64GB,,3990.4,"4,988.00","4,988.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD512ZP/A,MD512ZP/A,,Apple iPad with Retina display WiFi BLK 64GB,,,,,,10
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 16GB,,2710.4,"3,388.00","3,388.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD513ZP/A,MD513ZP/A,,Apple iPad with Retina display WiFi White 16GB,,,,,,10
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 32GB,,3350.4,"4,188.00","4,188.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD514ZP/A,MD514ZP/A,,Apple iPad with Retina display WiFi White 32GB,,,,,,10
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 64GB,,3990.4,"4,988.00","4,988.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD515ZP/A,MD515ZP/A,,Apple iPad with Retina display WiFi White 64GB,,,,,,10
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 16GB BLACK-ZPN,,3510.4,"4,388.00","4,388.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD522ZP/A,MD522ZP/A,,Apple IPAD WI-FI CELLULAR 16GB BLACK-ZPN,,,,,,10
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,4150.4,"5,188.00","5,188.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD523ZP/A,MD523ZP/A,,Apple IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,,,,,10
