Item   Code,Item Name,Item BarCode,Unit,Item Type,Qty On Hand,Qty On Ord,Price Sales,Serial No Ctrl,Anly Code1,Anly Code2,Anly Code3,Anly Code4,Anly Code5,Anly Code6,Anly Code7,Anly Code8,,Anly Code9
9107-APPSTORE1000,App Store HKD1000,5450537001868,,S,0,0,1000,N,Service,Apple-Service,,,ValuAccess,,,,,
9106-APPSTORE500,App Store HKD500,5450537001851,,S,0,0,500,N,Service,Apple-Service,,,ValuAccess,,,,,
9105-APPSTORE200,App Store HKD200,5450537001844,,S,0,0,200,N,Service,Apple-Service,,,ValuAccess,,,,,
9104-ITUNESVAR,iTunes HKD150-5000,5450537001837,,S,0,0,0,N,Service,Apple-Service,,,ValuAccess,,,,,
9103-ITUNES1000,iTunes HKD1000,5450537001820,,S,0,0,1000,N,Service,Apple-Service,,,,,,,,
9102-ITUNES500,iTunes HKD500,5450537001813,,S,0,0,500,N,Service,Apple-Service,,,ValuAccess,,,,,
9101-ITUNES200,iTunes HKD200,5450537001806,,S,0,0,200,N,Service,Apple-Service,,,ValuAccess,,,,,
9012-SVCCHARGE,I Pad Service Charge,,,N,0,0,,N,Service,Accessory CPU,,,,,,,,
9011-SVCCHARGE,I Phone Service Charge,,,N,0,0,,N,Service,Apple-Service,,,,,,,,
9003-CREDITCARD,2% Credit card Charge,,,N,0,0,,N,Service,Credit Card Service,,,,,,,,
9002-CREDITCARD,5% Credit card Charge,,,N,0,0,,N,Service,Credit Card Service,,,,,,,,
9001-CREDITCARD,3% Credit card Charge,,,N,0,,,N,Service,Credit Card Service,,,,,,,,
8418-MD199HK/A,APPLE TV - HKG,,PCS,S,1,0,788,N,Apple,Apple TV,CPU,Apple TV,Apple Asia Ltd.,Apple,MD199HK/A,,,
8418-MB189ZP/A,"APPLE TV,160G,CTO-ITP",MB189ZP-A,PCS,S,1,,1007,N,Apple,Apple TV Demo,Demo,Apple TV,Apple Asia Ltd.,Apple,MB189ZP/A,,,
8418-MA711ZP/A,Apple TV-ITP,,PCS,S,1,,2300,N,Apple,Apple TV Demo,Demo,Apple TV,Apple Asia Ltd.,Apple,MA711ZP/A,,,
