product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Pink -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD773ZP/A,MD773ZP/A,,Apple IPOD SHUFFLE 2GB  Pink -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-pink-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083722615",,,,,Pink,2GB,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Yellow -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD774ZP/A,MD774ZP/A,,Apple IPOD SHUFFLE 2GB  Yellow -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-yellow-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083719467",,,,,Yellow,2GB,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Blue -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD775ZP/A,MD775ZP/A,,Apple IPOD SHUFFLE 2GB  Blue -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-blue-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083723616",,,,,Blue,2GB,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Green -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD776ZP/A,MD776ZP/A,,Apple IPOD SHUFFLE 2GB  Green -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-green-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083716440",,,,,Green,2GB,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Purple -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD777ZP/A,MD777ZP/A,,Apple IPOD SHUFFLE 2GB  Purple -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-purple-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083720574",,,,,Purple,2GB,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Silver -ITP,Apple iPod Shuffle,,,,388,,Apple Asia Ltd,,107-APPIPS-MD778ZP/A,MD778ZP/A,,Apple IPOD SHUFFLE 2GB  Silver -ITP,"Small, but big on music
The colorful, clip-and-go iPod shuffle. With buttons, VoiceOver, and playlists, it’s got all the greatest hits.
Sleek, anodized aluminum. Eight gorgeous colors.
Its main body is crafted from a single piece of aluminum, so iPod shuffle feels solid, sleek, and durable. And the color palette makes it the perfect fashion accessory.
Hundreds of songs to go.
Never leave a favorite tune behind. Along with up to 15 hours of battery life,1 iPod shuffle gives you 2GB of storage capacity, good for hundreds of songs.2 That’s plenty of room for the essential songs of your workout or commute. And for multiple playlists, Genius Mixes, podcasts, and audiobooks, too.
Goes anywhere. And with anything.
iPod shuffle isn’t just portable. It’s wearable, too. Clip it to your shirt, jacket, workout gear, backpack, or purse strap, and it stays put — whether you’re running an errand or running around the track.","http://store.storeimages.cdn-apple.com/3865/as-images.apple.com/is/image/AppleInc/ipodshuffle-product-silver-2013?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=1378083721533",,,,,Silver,2GB,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - PINK- ITP,Apple iPod Nano,,,,"1,188.00",,Apple Asia Ltd,,107-APPIPN-MD475ZP/A,MD475ZP/A,,Apple iPod nano 16GB - PINK- ITP,,http://store.apple.com/us/buy-ipod/ipod-classic,,,,,PINK,16GB,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - YELLOW- ITP,Apple iPod Nano,,,,"1,188.00",,Apple Asia Ltd,,107-APPIPN-MD476ZP/A,MD476ZP/A,,Apple iPod nano 16GB - YELLOW- ITP,,"http://store.storeimages.cdn-apple.com/3899/as-images.apple.com/is/image/AppleInc/2012-ipodnano-product-yellow?wid=500&hei=500&fmt=jpeg&qlt=95&op_sharpen=0&resMode=bicub&op_usm=0.5,0.5,0,0&iccEmbed=0&layer=comp&.v=136035398675",,,,,YELLOW,16GB,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - BLUE- ITP,Apple iPod Nano,,,,"1,188.00",,Apple Asia Ltd,,107-APPIPN-MD477ZP/A,MD477ZP/A,,Apple iPod nano 16GB - BLUE- ITP,,http://store.apple.com/us/buy-ipod/ipod-classic,,,,,BLUE,16GB,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - GREEN- ITP,Apple iPod Nano,,,,"1,188.00",,Apple Asia Ltd,,107-APPIPN-MD478ZP/A,MD478ZP/A,,Apple iPod nano 16GB - GREEN- ITP,,http://images.apple.com/ipod-nano/images/overview_design_green.jpg,,,,,GREEN,16GB,,,,
